Tweet,Message,Match,Polarity
232,RT Justinparksss Had a great visit at The University of Tennessee yesterday  RecruitTheDale DexPreps DansleyAnsley VolFootball ,great,Positive
233,"RT RiaRevealed Beside CBSE ICSE IGCSE IBO state boards n Cambridge University India has started with a new syllabus thats
WhatsApp",WhatsApp,Neutral
234,"RT DangitBird From a University of North Dakota custom intro bio textbook drove the Mandan tribe of North Dakota to extinction
",extinction,Neutral
235,RT cnnphilippines  The University of the Philippines Los Baños Graduate School Student Council calls for donations for the quakehit are,are,Neutral
236,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
237,Remember when Buttigieg had crowds like this Me neither NoMiddleGround Bernie,like,Positive
238,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
239,No problem IPOB are waiting for you your alliance with Gowon is questionable,problem,Negative
240,"RT txtonnews Q Soobins major if hell go to an ordinary university

 psychology
 but the things to study was difficult than i assum",hell,Negative
241,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
242,RT ItsJustKy Now Who done took over Aris page httpstcoEqWHsiEch,httpstcoEqWHsiEch,Neutral
243,Yes there is DJ and we The Clemson Family cant wait to welcome you and your family officially to Clemson Univers httpstcoVmtpAhZw,welcome,Positive
244,RT tnitne A Cornell University study found that men overestimate their abilities and performance while women underestimate both A Hew,underestimate,Negative
245,"Nike Dunk Low Flyknit University Red White Wolf Grey
Size US ½  
 free shipping Jakarta httpstcoUoUmuPzy",free,Positive
246,RT CourtneyLTanner THREAD For months Ive been reporting for this article requesting records interviewing former staff  talking to s,s,Neutral
247,Im tryna choose you too ,too,Neutral
248,MelissaFloBix Ive always felt called to chaplaincy more than parish ministry university amp militaryVA but this httpstcoyEGCglUW,httpstcoyEGCglUW,Neutral
249,JeffLegwold Allen is a class act who will always credit those around him Hes always handled himself with humili httpstcoLyjkMDIFq,httpstcoLyjkMDIFq,Neutral
250,RiaRevealed Insta University plz add,add,Neutral
251,RT JamesMelville Denmark pays its students  a month to go to university and charge no tuition fees Students are seen as an investm,investm,Neutral
252, cant believe I have to clarify this but hi yall my name is Rebecca Im in my last year of university and thi httpstcogRLBDTHocZ,httpstcogRLBDTHocZ,Neutral
253,RT HalFairchild kzshabazz PratherLab jackmonell What is it like to be a Black faculty member on a predominantly White university campu,like,Positive
254,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
255,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
256,"RT KVOA University of Arizonas decision to change their abbreviation makes it onto Saturday Night Lives Weekend Update

httpstco",httpstco,Neutral
257,RT CollegeDemsWI Marquette University College Democrats canvassing today for yearwin   httpstcorOuAovEA,httpstcorOuAovEA,Neutral
258,RT DAYYYYY Yall please RT share and like this picture of this young lady her name is Alexis Crawford She attends Clark Atlanta Univ,like,Positive
259,RT Obefiend Cant have this here Boomers will tell grandfather stories like aku dulu masa student makan pasir cecah kencing lipas to s,like,Positive
260,"RT TookJYH Official    JUNG YONG HWA LIVE STILL  IN SEOUL
STILL
정용화 YongHwa 
씨엔블루 CNBLUE

Fanclub Prepurc",Prepurc,Neutral
261,RT AryaUdry My department of Geoscience at UNLV University of Nevada Las Vegas is looking for an assistant professor in paleobiologypa,paleobiologypa,Neutral
262,"UNDPBiH 
I MOHAMED YUSSUF IS WELL EDUCATED PERSON AND I ALSO I HAVE DISCOVERED MY FOUR PRINCIPLE OF THE HUMAN BRAI httpstcoxeThHuH",httpstcoxeThHuH,Neutral
263,RT TorontoStar Her father was killed by the Taliban for championing his daughter to get an education In  Roya Shams escaped to Cana,killed,Negative
264,RT TarekFatah Are you serious The Muslim Brotherhood and JamaateIslami is drenched with engineers and physicians not Muslims sufferin,sufferin,Neutral
265,"RT theworldindex The top  countries for future skills education

 Finland
 Switzerland
 New Zealand
 Sweden
 Canada",top,Positive
266,RT TarekFatah Are you serious The Muslim Brotherhood and JamaateIslami is drenched with engineers and physicians not Muslims sufferin,sufferin,Neutral
267,RT educationgadfly How do we best help students who are several grade levels behind Its a vital question But the very fact that its a,best,Positive
268,"RT hari Dear SenatorDurbin Do you read your own chicagotribune  Did you miss this  httpstcoOJDxOaw
International kids are",miss,Negative
269,RT jimduffus MitchWheeler TorontoStar This issue isnt about Western Canadas alienation its about eastern  Canadas indifference t,issue,Negative
270,RT mmccdenier Scheers description of his past as an insurance broker also could expose him to legal danger since the law criminalizes,danger,Negative
271, not accurate Ontario students are  or more years behind their peers These are often autistic students excluded httpstcolLxhFWZZs,accurate,Positive
272,RT dbudlovsky November is Indigenous Education Month TDSB An opportunity to focus on treaties the legacy of residential schools as w,w,Neutral
273,RT TarekFatah Are you serious The Muslim Brotherhood and JamaateIslami is drenched with engineers and physicians not Muslims sufferin,sufferin,Neutral
274,RT TorontoStar Her father was killed by the Taliban for championing his daughter to get an education In  Roya Shams escaped to Cana,killed,Negative
275,"RT theworldindex The top  countries for future skills education

 Finland
 Switzerland
 New Zealand
 Sweden
 Canada",top,Positive
276,RT edinclusive Australia is generations behind to other world education jurisdictions such as New Brunswick in Canada failing not only,failing,Negative
277,RT TorontoStar Her father was killed by the Taliban for championing his daughter to get an education In  Roya Shams escaped to Cana,killed,Negative
278,RT MaxBlumenthal Sanders also called Hugo Chavez who won far more hotly contested elections than he ever had amp who provided homes and fr,won,Positive
279,RT mmccdenier Scheers description of his past as an insurance broker also could expose him to legal danger since the law criminalizes,danger,Negative
280,RT Anniekidder Education is the key to reconciliationif we educate  Indigenous children and nonIndigenous children about each other,other,Neutral
281,RT BJGrant AMEN httpstcolpVjFiZEf,httpstcolpVjFiZEf,Neutral
282,RT MaxBlumenthal Sanders also called Hugo Chavez who won far more hotly contested elections than he ever had amp who provided homes and fr,won,Positive
283,RT DashLalonde Due to the policies of our Pedominster our education system and courts are openly supporting the indoctrination of sexual,openly,Positive
284,"RT theworldindex The top  countries for future skills education

 Finland
 Switzerland
 New Zealand
 Sweden
 Canada",top,Positive
285,"RT JCSDAthletics PIAA State Soccer Matchups are Official

All games are Tuesday November 

A Girls
EJ vs Mountain View   Midd W",W,Neutral
286,legolokante Halifax Town,Town,Neutral
287,"RT MUFLL Final in Halifax  for DalLacrosse over StFXmenslax

That makes  championships and  consecutive wins for the Tigers",wins,Positive
288,Anyone on here that dread Xmas because of depression and grief over losing loved ones or am I the only one Im ser httpstcoxPlHjpKMp,dread,Negative
289,hwcalderdale How about def plans for which a and e will remain open Is ir Halifax or hudds Dont expect a reply,reply,Neutral
290,Were back to standard time amp were playing some timely tunes abouttime pm newscotradio Halifax httpstcoTMzIIsY,timely,Positive
291, Charles Rd Timberlea Halifax httpstcoQtFfKS,httpstcoQtFfKS,Neutral
292,Nervous to apply for a job like Project Coordinator at PCL Construction Apply even if youre not a  match Y httpstcojPduQXkZ,like,Positive
293,Coach to Potential not Performance Thanks certifiedcoach for the halifax workshop,workshop,Neutral
294,Halifax Not interested in Nicoll as mayor  Halifax is ready for a woman mayor she however would not be my choice,ready,Positive
295,RT jsrawlings Congrats to Madison Sloan pictured and Kiana Figueroa for Extended Display at the Halifax Art Festival  Go Breezevcss,Breezevcss,Neutral
296,RT jsrawlings Congratulations to Hannah Rice for Best of Show at Halifax Art Festival  Go Breezevcsspirit httpstcouHaveSyDL,httpstcouHaveSyDL,Neutral
297,RT karenkho In Halifax earlier this year I met a white woman whose preteen kid was obsessed with BTS This tweet ignores the bands glo,glo,Neutral
298,Just finished up my Halifax craft show One more stop in PEI then I get to COME HOME,HOME,Neutral
299,"SundayCoffeeHouse starts at pm AT Check it out at httpstcowMbSWh
SunCoffeeHouse

 Folk Halifax httpstcoktovpXIUED",httpstcoktovpXIUED,Neutral
300,RT NanMcFadgen HRP have said the vehicle would help them address the everchanging number of issues they encounter while providing a le,issues,Negative
301,gmcgillivray Welcome the roads of hell halifax,hell,Negative
302,"RT EzekielANovel Exceptionally still autumn duck on the Halifax River Ormond Beach Florida snapthesun StormHour 

httpstcoNwSu",httpstcoNwSu,Neutral
303,"RT EzekielANovel Jaws at sunset on the Halifax River Ormond Beach Florida snapthesun stormhour 

httpstcoNwSuYmeox httpstc",httpstc,Neutral
304,"Which word do you use
Halifax NovaScotia Maritimer",Maritimer,Neutral
305,morgfair kcorr Hey Happy Birthday Big Guy from Halifax Nova Scotia,Scotia,Neutral
306, Rosedale Ave Halifax Halifax httpstcodKplFcO,httpstcodKplFcO,Neutral
307,RT EACwilderness The annual Halifax Examiner subscription drive is on Support outstanding investigative journalism you wont find anywhe,outstanding,Positive
308,"RT EzekielANovel Jaws at sunset on the Halifax River Ormond Beach Florida snapthesun stormhour 

httpstcoNwSuYmeox httpstc",httpstc,Neutral
309,RT BishopsCellar Just a few of the new brews in store this weekend BigSpruceBrew GreatLakesBeer boxingrockbeer Halifax SundayFunday,SundayFunday,Neutral
310,"I have been through this myself and i am now  Have an AMAZING birthday bug guy

Your NEW friends in Halifax Nova Scotia",bug,Negative
311,okay but like what if the minute i graduate i just moved back to halifax,like,Positive
312,RT mrobinsonpoet This fancy poetry thing is tomorrow Halifax Some great readers will be there I will also be reading httpst,fancy,Positive
313,RT haligonia Headlines  Ever wonder how many people pass through the HIAA per year Heres some Halifax Stanfield International Airport,wonder,Positive
314,RT hfxgov Beginning Monday the Woodside Ferry will operate on minute service due to mechanical issues with of one of its vessels the,issues,Negative
315,NLWildlife Marner Tavares MapleLeafs I have been through this myself and i am now  Have an AMAZING birth httpstcoESxflnaP,httpstcoESxflnaP,Neutral
316,RT mrobinsonpoet This fancy poetry thing is tomorrow Halifax Some great readers will be there I will also be reading httpst,fancy,Positive
317,B Frederick Ave Halifax Halifax httpstcogjFSRYbNK,httpstcogjFSRYbNK,Neutral
318,Mum  who died after altercation pictured as murder probe launched  Men Boys need to keep their hands to thei httpstcogpQSlGoZf,died,Negative
319,Re FC Halifax V Torquay United  Why was Duku not on the bench yesterdayProbably because we dont need him httpstcoBBtnNrIM,httpstcoBBtnNrIM,Neutral
320,"
A Lovely Tranquil Image",Image,Neutral
321,RT karenkho In Halifax earlier this year I met a white woman whose preteen kid was obsessed with BTS This tweet ignores the bands glo,glo,Neutral
322,Im at Starbucks in Halifax NS httpstcoSUrBaIisJ,httpstcoSUrBaIisJ,Neutral
323,RT NikiJabbour Im excited to be talking about my recent TasteCanada Book Award on globalhalifax Monday morning at  am  Plus Ill,excited,Positive
324,Can I ask that you vote for Halifax as LGBT friendly financial institution if you have not done already Cut off i httpstcoHSJBbnEXKR,friendly,Positive
325,RT tribe Halifax is now streaming PLAYERUNKNOWNS BATTLEGROUNDS httpstcodwSsXAuz,httpstcodwSsXAuz,Neutral
326,Veronicaromm deAdder There was this one though httpstcoYlfLWeq,httpstcoYlfLWeq,Neutral
327,Ear glitter from Montreal band Caveboy plus more tunes from Halifax Pop Explosion performers on this weeks FNS httpstcoApMGcqD,glitter,Positive
328,A Central Ave Halifax Halifax httpstcowDaMzzzp,httpstcowDaMzzzp,Neutral
329,whats up everyone Im just thinking about the time I convinced a guy at a bar that Theodore Tugboat was one of the httpstcotuwwWKEOQ,httpstcotuwwWKEOQ,Neutral
330,Sullivans Pond geese getting too aggressive send Dartmouth sen httpstcotflNiJYn lokol halifax,aggressive,Negative
331,Holly Lynch an MP from Halifax proved that with a little bit of heart and ingenuity you can overcome the doldr httpstcoChRbVzmK,ingenuity,Positive
332,whitepeoplelame ZeeZeeMooMoo RedRangeRover Im in Canada but in Vancouver my rent was  for a studio apt httpstcolUffzkCRWa,httpstcolUffzkCRWa,Neutral
333,RT VanityFair Holly Lynch an MP from Halifax proved that with a little bit of heart and ingenuity you can overcome the doldrums go,ingenuity,Positive
334,pm  Engine West St Halifax paged for a CO alarm activation,alarm,Negative
335,thehistoryguy There are remains of an RCAF Halifax which crashed during WW on the Old Man of Coniston,crashed,Negative
336,RT jsrawlings Congrats to Madison Sloan pictured and Kiana Figueroa for Extended Display at the Halifax Art Festival  Go Breezevcss,Breezevcss,Neutral
337,Another nice day in Halifax Besides a stint at the gym and grocery shopping I decided to conduct a review of the httpstcoZOqUrfFCvJ,nice,Positive
338,pm  Halifax Shearwater Weather,Weather,Neutral
339,RT hfxgov Beginning Monday the Woodside Ferry will operate on minute service due to mechanical issues with of one of its vessels the,issues,Negative
340,RT Calderdale Our smart parking system launches tomorrow in Halifax  Use the free app to find areas with available spaces before you par,smart,Positive
341,RT FYNFLNNS FREE TICKETS We have a select number of sponsored tickets available courtesy of a few generous  partners Contact us direc,available,Positive
342,"Heading to the Passport office it has Moved
ACROSS FROM SCOTIASQUARE PARADE SQUARE  Argyle St suite  Hal httpstcoOXYBQxyp",httpstcoOXYBQxyp,Neutral
343,NLWildlife Marner Tavares MapleLeafs Big Happy Birthday from Halifax And you are still smiling  You are inspiring thousands,smiling,Positive
344,someone needs to open a baskin robbins in halifax so i can fuel my ice cream addiction when i comd home for christmas break,break,Negative
345,Life is moving toward us all the time We back away but it keeps pushing toward us Why not step forward and greet it Roshi Joan Halifax,Halifax,Neutral
346,RT WomenInTrucking Congratulations Shelley httpstcouhxzCwMm,httpstcouhxzCwMm,Neutral
347,RT NikiJabbour Im excited to be talking about my recent TasteCanada Book Award on globalhalifax Monday morning at  am  Plus Ill,excited,Positive
348,Halifax is a Sex Knight,Knight,Neutral
349,HollyRHunt Have u seen this woman Last seen near the Lidl on Halifax Road,Road,Neutral
350,RT VanityFair Holly Lynch an MP from Halifax proved that with a little bit of heart and ingenuity you can overcome the doldrums go,ingenuity,Positive
351,yes i am that cryptic person who is always walking around Halifax late at night with either a large plant or a surp httpstcoESbkABsHq,httpstcoESbkABsHq,Neutral
352,RT dixiehockey HudonGerant NHLtoHouston AerosNHL TSlanted helloloui RoundRockTim CrazyTex HouTownLife jwill WSCH,WSCH,Neutral
353,A parade was held tonight for the Hegins Area Little Dawgs and Tri Valley thth grade girls soccer teams  On Sat httpstcoIWzhTUB,httpstcoIWzhTUB,Neutral
354,RT GlobalNB Hundreds of jackolanterns met their demise on Saturday crushed under the mallets of children at the Common Roots Urban Fa,demise,Negative
355,RT dinahbrand WomenExist jonkay CurtisMeliefste Me too What hauled me into this was the attack on the Lenehan protest organising th,attack,Negative
356, Silver Maple Dr Timberlea Halifax httpstcoNqavABs,httpstcoNqavABs,Neutral
357,caveboymusic halifaxbloggers Thank you for two incredible shows Cant wait for the next one here in Halifax ,incredible,Positive
358,Ill be on Global News Halifax tmrw morning at am to chat about a few things coming up amp to perform Make sure to tune in ,in,Neutral
359,RT SunilSarwal Matt Whitman who supported the white supremacist Faith Goldys run for Toronto mayor is running for mayor in Halifax und,supported,Positive
360,Our Horizon Eagles soar and that includes you Ms Ramsey  ,Ramsey,Neutral
361,RT MercenaryXbox Halifax is now streaming PLAYERUNKNOWNS BATTLEGROUNDS httpstcoXsrfqjfR,httpstcoXsrfqjfR,Neutral
362,NCSSA Aspiring Superintendent Program Cohort IV members Dr Michael Sasscer Edenton Chowan Dr Amelia McLeod Le httpstcoQkTDYPjG,httpstcoQkTDYPjG,Neutral
363,RT WardenNAtlantic Another nice day in Halifax Besides a stint at the gym and grocery shopping I decided to conduct a review of the Fle,nice,Positive
364,RT doinallrightbye AsshatsOfHalifax wont be happy until they pave over the common lands Also why do we have to contribute the land p,happy,Positive
365,RT Canada You have to check out this earresistible bunnythemed cafe in Halifax Rabbit Hole Cafe is a charming coffee shop that offers,charming,Positive
366,RT hfxrec Nominate an outstanding group or individual for our  Volunteer Awards The deadline to submit is Dec  httpstcoorok,outstanding,Positive
367,RT EACwilderness Nova Scotia government doubles down on gold mining public says NOPE  Halifax Examiner WaterNotGold nope nspoli no,gold,Positive
368, Rosedale Ave Halifax Halifax httpstcocRdIHuHzA,httpstcocRdIHuHzA,Neutral
369,Halifax WestYorkshire Mum  dies in street in front of late night drinkers after altercation as man held f httpstcouJkGjRPoFh,dies,Negative
370,RT Keontebeals Ill be on Global News Halifax tmrw morning at am to chat about a few things coming up amp to perform Make sure to tu,tu,Neutral
371,Just took an Uber for the first time this afternoon Airport to hotel literally walked out the door and they were httpstcowsxwbMTTm,httpstcowsxwbMTTm,Neutral
372,Anyone smelling smoke in the south end of Halifax  We are currently at pm  its outside but cant source it,smelling,Negative
373,doinallrightbye SackvilleRivers They should just build a new hospital like at Bedford Commons or Dartmouth Cross httpstcomXXEUvpAW,like,Positive
374,RT hfxgov Beginning Monday the Woodside Ferry will operate on minute service due to mechanical issues with of one of its vessels the,issues,Negative
375,RT HalifaxTrails Get wild  Backcountry Wilderness Adventures from Halifax NovaScotia httpstcoyISGGhbX,wild,Negative
376,RT DartmouthLocal Congratulations to Duncan Cameron who has been elected to Provincial Executive for  Halifax County Local  Congratulat,Congratulat,Neutral
377,WordsandGuitar I hope I can still see it in a week when Im back from Halifax,Halifax,Neutral
378,RT TwitCoast Harbour rising Halifaxs harbourfront in  come hell or highwater httpstcoFXMttQpV httpstcoKRvYDz,hell,Negative
379,"RT Dirtystephanie Hot times in halifax Come sample some delicious dessert  I may even have some extra goodies to share
Nov  
Mo",delicious,Positive
380,Mum  who died after altercation pictured as murder probe launched httpstcoUVGayZhTW,died,Negative
381,Halifax named as one of the healthiest towns in the UK httpstcobmGxkTIS,httpstcobmGxkTIS,Neutral
382,coachoncall Grateful for Birch trees a wonderful weekend scheduling a much needed Celebrate Kathy Day friends httpstcotIyYjovil,wonderful,Positive
383,halifax is so damn beautiful ,damn,Negative
384, Fir Lane Tantallon Halifax httpstcoqwJsqElORi,httpstcoqwJsqElORi,Neutral
385,RT MarieMaiReal Geez my friend  httpstcocEtnwVDdt,httpstcocEtnwVDdt,Neutral
386,RT artrockpopfilm Saw this today reecedinsdale  what a lovely tribute xx piecehall Halifax httpstcoOInLrDcQ,lovely,Positive
387,MrMillerCodes Getting on the bike in about  mins Just got home today from keynoting a conference in Halifax Sp httpstcoSHeQCcimMa,httpstcoSHeQCcimMa,Neutral
388,Pleased to have been invited to speak about the influence the voices of families have had in advancing inclusive ed httpstcoJbCpoJMN,httpstcoJbCpoJMN,Neutral
389,"RT HFXAgainstHate Halifax mayoral candidate Matt Whitman supports white power advocate Faith Goldy

nspoli httpstcoUNygHiTfXv",supports,Positive
390,WAITING FOR HOUSEMATE TEACHING HIM NOT TO STEAL MY THINGS OR ANYONES  drinking everything alcoholic in httpstcotKoiNAj,httpstcotKoiNAj,Neutral
391,RT Bandreescu  tho this szn has been insane Blessings on blessingsthank you God amp thank you to everyone who supports me throug,insane,Negative
392,SeanRossSapp Ruffles All Dressed are my absolute favorite chips Thank you Canada,favorite,Positive
393,"RT ComRanker Smartest countries in the world 

 Japan
 Switzerland
 China
 United States
 Netherlands
 Russia
 Belgi",Belgi,Neutral
394,It supposed to snow on Sunday Tell me again why I wanna move to Canada,Canada,Neutral
395,RT cselley Oh snap Caroline and Ben BOTH run Hello reality show Canadas Next Top Mulroney httpstcogrUFmcKdM,httpstcogrUFmcKdM,Neutral
396,ravenking masuruha doubletapper PennyLe wwwillstand MarilynLavala FaithIn USAtruepatriot httpstcoUDXnKiwVu,httpstcoUDXnKiwVu,Neutral
397,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
398,"RT mannyottawa WARNING  
If you are triggered about ClimateCrisis and as afraid as GretaThunberg dont read this tweet

China
",afraid,Negative
399,"RT LeonardRoxon Calgarybased Encana moving to US due to Trudeau Liberal hostile antiOil policies

Canada loses
Crazed alarmism amp th",hostile,Negative
400,Youre blocked blockhead,blockhead,Negative
401,RT gtlem AB Premier Jason Kenney is playing a dangerous game  The more he bashes Justin Trudeau the less sympathy the rest of Canada,dangerous,Negative
402,Air Canada to wetlease B As  httpstcoXMTnwvlg businesstravel travel,travel,Neutral
403,Charles Chaz Graham Somers was born on October th  in Stratford Ontario Canada,Canada,Neutral
404,unreliable narrator cites unreliable witness as evidence they were saying boourns classic eric jr httpstcouLpaPNcuX,unreliable,Negative
405,"RT WBrettWilson Maybe explain the absence of policy adding a carbon tax to COAL we ship in ever increasing quantities to China

Hint  w",absence,Negative
406,RT Donimil Trudeau jr is the Worst Prime minister Canada has ever had httpstcoIwPpZOxCEO,httpstcoIwPpZOxCEO,Neutral
407,GWayFUN This was before tickets were out Just like when the internet was finding out that it happened But YES httpstcoTkNEPBNP,like,Positive
408,RT OttawaPolitico Something is fundamentally wrong and unbalanced here If this isnt a constitutional challenge then I dont know what,wrong,Negative
409,RT BrazilianReport The Brazilian ruling aligns with similar decisions in the US and Canada Courts in all three countries determined th,th,Neutral
410,"RT liiljujuu HELP MY HUSBAND STAY IN CANADA  Sign the Petition httpstcoVCqXGltVi via CdnChange

Hey I know this is random but my",my,Neutral
411,RT FuzzyWuzzyTO apihtawikosisan Indeed httpstcolxPupWoz,httpstcolxPupWoz,Neutral
412,SeaBus will be sailing every  min from pmuntil the end of the service day with the pm and pm round t httpstcoWRlCNmyHU,httpstcoWRlCNmyHU,Neutral
413,RT romanticboy Californias economy is bigger than Uk Indian France Italy Brazil Canada Finland Australia Denmark Austria Qa,Qa,Neutral
414,RT LotusRancon Canadas Ultramodern Holistic Wellness Shop  MAGNOLIA httpstcobOEINXlm,httpstcobOEINXlm,Neutral
415,tubemapper calendar  print will look great in Canada eh  ,great,Positive
416,Debtridden translation agency says it cant pay its freelancers  but still recruits them  CBC News httpstcoPfduTDvx,httpstcoPfduTDvx,Neutral
417,RT MichelleRempel Still nothing from Trudeau about this httpstcoGBMvPPGEYt,httpstcoGBMvPPGEYt,Neutral
418,"RT LeonardRoxon Calgarybased Encana moving to US due to Trudeau Liberal hostile antiOil policies

Canada loses
Crazed alarmism amp th",hostile,Negative
419,Its time for the US to catch up with the modern economy of Canada and Europe,modern,Positive
420,RT amwcb ravenking masuruha doubletapper PennyLe wwwillstand MarilynLavala FaithIn USAtruepatriot Ag,Ag,Neutral
421,RT GailVazOxlade Here in Canada weve stalled bc of conservatives who like to give our  to their rich friends httpstcouBTvATTlMg,like,Positive
422,MikeHaracz Also need to bring back the CBO burger to Canada loved that chicken burger httpstcowKGLjZXZ,loved,Positive
423,RT dpakman I guess the upshot of realDonaldTrump using dog to insult people now is that hes less likely to misspell it httpstco,insult,Negative
424,btscookybunny Haha I have lived in Calgary as well I noticed that when I watched the video yesterday  Western httpstcoQZFjbzGhSL,well,Positive
425,"RT COsweda Thread

This is the rationale that leftists always gave for allowing unfettered illegal immigration from Mexico

httpstco",unfettered,Positive
426,"RT skerriesred aniobrien Whats a swerf

I cant keep up with my acronyms

Its getting very heavy Canada a weird melting pot right n",weird,Negative
427,RT maureenpolitics Im at a total loss as to the hate geared toward the west I have always loved Canada but lately Im more and more uns,loss,Negative
428,RT derrickokeefe  marched in Montreal and  in Vancouver for climate But we couldnt have a climate debate But several hu,hu,Neutral
429,RT garyfeltham Business investment in Canada is at a year low Why because the Trudeau Liberals are economic illiterates httpst,httpst,Neutral
430,"RT ssolyom Also Canada destroying the shale oil sector in Texas too And creating negative environment for oil amp gas worldwide

Bad Ca",negative,Negative
431,National Bank of Canada Launches CAD  Innovation Competition httpstcoOqmJntolh startup,startup,Neutral
432,RT ballsdotie The Irish Womens Hockey Team have qualified for the  Olympics in Tokyo after a dramatic penalty shootout win over Can,qualified,Positive
433,discovEDT We call these toques in Canada,Canada,Neutral
434,RT ShaunBryan Can someone please help Do sports cards classify as documents when shipping to Canada,Canada,Neutral
435,RT peta If you dont support this dont support Canada Goose httpstcoTkYIpSOc httpstcoCzftTdaLS,support,Positive
436,RT ErinNorrish A bit hypocritical to say the Alberta public sector should take a roll back You just took a  rollback and are still the,hypocritical,Negative
437,Vanessa also says her parents were progressive and moved to Canada in order to give her the opportunity to focus on httpstcoXeyLLtTlo,progressive,Positive
438,RT AlwynFJH Twitter Im only telling you this bc in the Referendum my flatmates were from NZ Canada amp Australia and NONE of them knew t,t,Neutral
439,RT heyhero BrianSachs rachyuen AndrewYang In Canada you get emergency treatment right away But if we need to get imaging tests or,emergency,Negative
440,GlobalJesus DYK that our one store in Little Italy sells more Kimbo coffee than anyone in Canadaespresso,Canadaespresso,Neutral
441,RT sarthakgh three large research teams devoted to detecting coordinated influence campaigns on social media report they found littl,littl,Neutral
442,RT CapcomFighters Canada Cup   Top   CPT  httpstcoaoSpk,httpstcoaoSpk,Neutral
443,"RT kazweida I wouldnt blame Canada if they built a polite privacy hedge and left us to our own devices

httpstcosbIbVMtS",blame,Negative
444,"RT Sons Liberals against winning bigly
kag maga qanon
American football coach is suspended after team scores too much  BBC News",winning,Positive
445,RT FuzzyWuzzyTO apihtawikosisan Indeed httpstcolxPupWoz,httpstcolxPupWoz,Neutral
446,RT CBCEdmonton MacEwan University eyes job cuts tuition hike in wake of grant reduction httpstcolYwySHwwtK httpstcowQtSzbDuw,httpstcowQtSzbDuw,Neutral
447,"RT mannyottawa WARNING  
If you are triggered about ClimateCrisis and as afraid as GretaThunberg dont read this tweet

China
",afraid,Negative
448,RT MississaugaMgs Provinces plans to change gravel pit rules could harm local water natural areas report  Its vital to stop companie,harm,Negative
449,RT amwcb ravenking masuruha doubletapper PennyLe wwwillstand MarilynLavala FaithIn USAtruepatriot Ag,Ag,Neutral
450,RT SithLizz This isnt normal Lmao httpstcothALnEGn,httpstcothALnEGn,Neutral
451,RT Canada If you didnt think poutine was magical enough Torontos Enchanted Poutinerie has got you covered Looking like a mystical de,magical,Positive
452,nspector Canada is being destroyed over the AGW lie  Not going to age well  cc sunlorrie,lie,Negative
453,RT sarthakgh three large research teams devoted to detecting coordinated influence campaigns on social media report they found littl,littl,Neutral
454,Now I know why youre limping all week at the ISHA meeting Get well feel better and Ill see you for a cocktail a httpstcocSfXBALF,well,Positive
455,The lousy and shameful Kahanist demonstration outside of the JSpaceCanada conference shows more than anything ho httpstcoCpfsJuGz,lousy,Negative
456,RT RTEsport The Ireland womens hockey team have qualified for the Toyko Olympics after beating Canada  on penalties in Donnybrook htt,qualified,Positive
457,Is it in Canada tho,tho,Neutral
458,RT angelamorales Joseflor hostiIekyle Im so glad I live in  where gay marriage has been legal since  where people dont e,glad,Positive
459,TrueNorthCentre What the hell is our Canada becoming  Scary is you ask me,hell,Negative
460,"RT FPVaughanIII This is sick

Headline should be 

Judge Protects Those Who Groom Kids For Sex

Is grooming minors for sex something C",sick,Negative
461,RT derrickokeefe  marched in Montreal and  in Vancouver for climate But we couldnt have a climate debate But several hu,hu,Neutral
462,bfornatoro existindirectly Monstermash vonceyb YahooNews janawinter hunterw CEDickson I believe one is httpstcotywMapZ,httpstcotywMapZ,Neutral
463,"GiuliaRozzi LinzDeFranco Haha Americans are so funny
You should try the weather in Canada",funny,Negative
464,Thats it Im officially moving to Canada,Canada,Neutral
465,"RT hari Dear SenatorDurbin Do you read your own chicagotribune  Did you miss this  httpstcoOJDxOaw
International kids are",miss,Negative
466,RT DrGillLeighton Of course not the laziest Prime Minister in Canadian history is having yet another holiday instead liar corrupt r,liar,Negative
467,RT ikwilson Wexit Why some Albertans want to separate from Canada httpstcozDPWKHgAhH,httpstcozDPWKHgAhH,Neutral
468,"RT hrw  Countries Blast China at UN Over Xinjiang Abuses

Albania
Australia
Austria
Belgium
Canada
Denmark
Estonia
Finland
France
Germ",Germ,Neutral
